,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-1582009706,268.0,16,0,240.0,28,1,252.0,29,0,278.0,26,2
1,-1807838919,322.0,15,0,260.0,12,3,300.0,13,0,301.0,11,1
2,-1612133827,279.0,10,0,275.0,16,2,327.0,16,0,301.0,15,2
3,-2141259087,498.0,18,0,255.0,10,1,261.0,10,0,263.0,12,1
4,-194767345,315.0,19,0,266.0,16,2,371.0,16,0,311.0,18,1
5,-1252253040,407.0,14,0,275.0,10,4,319.0,13,0,344.0,10,3
6,2094775402,252.0,11,0,253.0,7,2,331.0,9,0,375.0,8,4
7,249530782,335.0,12,0,245.0,15,0,245.0,15,0,245.0,15,0
8,412058154,327.0,19,0,315.0,23,1,254.0,25,0,276.0,22,1
9,960876874,266.0,17,0,259.0,21,1,252.0,17,0,323.0,19,1
10,520555384,271.0,12,0,258.0,10,3,201.0,10,0,331.0,10,1
11,62385589,269.0,9,0,326.0,15,2,317.0,15,0,316.0,15,2
12,735574124,258.0,13,0,214.0,14,2,370.0,12,0,256.0,17,2
13,8345609,289.0,10,0,274.0,20,1,228.0,16,0,262.0,18,1
14,-1484044259,272.0,6,0,315.0,20,1,320.0,18,0,293.0,19,2
15,-69573920,490.0,12,0,369.0,11,0,369.0,11,0,369.0,11,0
16,1471147586,264.0,14,0,382.0,12,2,278.0,12,0,295.0,11,2
17,-1968470394,301.0,20,0,296.0,10,4,266.0,9,0,283.0,9,3
18,103581569,316.0,13,0,324.0,22,1,316.0,12,0,279.0,17,1
19,-871323059,257.0,13,0,321.0,23,1,298.0,22,0,316.0,19,1
20,-1970735596,492.0,12,0,315.0,13,2,269.0,12,0,366.0,11,2
21,1247916898,324.0,11,0,372.0,19,1,265.0,22,0,255.0,26,3
22,-564286179,268.0,21,0,257.0,9,3,319.0,11,0,233.0,7,2
23,1291876906,253.0,12,0,355.0,20,4,320.0,17,0,270.0,16,2
24,-1808360343,328.0,11,0,355.0,15,2,259.0,19,0,232.0,19,1
25,1018176404,252.0,23,0,321.0,9,2,361.0,6,0,295.0,10,3
26,-102368877,271.0,8,0,259.0,13,0,259.0,13,0,259.0,13,0
27,316926420,280.0,14,0,257.0,15,1,361.0,14,0,265.0,15,1
28,-1800777612,253.0,14,0,302.0,13,5,353.0,15,0,212.0,16,1
29,2061433244,324.0,9,0,211.0,12,1,282.0,12,0,258.0,11,1
30,101663390,264.0,24,0,324.0,11,2,374.0,12,0,261.0,15,0
31,1416202595,260.0,15,0,253.0,22,1,259.0,20,0,274.0,23,1
32,425194633,275.0,11,0,374.0,15,0,374.0,15,0,374.0,15,0
33,1635782708,266.0,7,0,253.0,8,1,334.0,8,0,261.0,8,1
34,-1051100908,265.0,18,0,316.0,16,0,316.0,16,0,316.0,16,0
35,-646484216,270.0,15,0,317.0,15,4,318.0,15,0,228.0,19,3
36,691971352,265.0,12,0,251.0,23,2,263.0,14,0,335.0,19,2
37,440120262,267.0,18,0,376.0,11,3,273.0,10,0,283.0,11,1
38,-436476213,268.0,13,0,262.0,10,5,259.0,8,0,262.0,12,2
39,96170346,264.0,12,0,261.0,12,3,296.0,13,0,269.0,16,3
40,1157211931,262.0,7,0,271.0,18,3,255.0,19,0,206.0,19,1
41,855398536,264.0,16,0,205.0,16,2,256.0,14,0,300.0,15,1
42,-1687362950,260.0,10,0,269.0,16,2,245.0,17,0,293.0,11,0
43,1021809530,291.0,14,0,303.0,11,5,259.0,12,0,314.0,10,3
44,-1756700228,260.0,15,0,271.0,20,2,257.0,19,0,317.0,18,2
45,-1310921029,323.0,12,0,275.0,17,1,228.0,18,0,336.0,17,1
46,417738448,258.0,12,0,326.0,16,3,286.0,19,0,314.0,21,1
47,1186968586,505.0,3,0,256.0,13,1,332.0,12,0,224.0,11,1
48,-1699608395,253.0,16,0,327.0,7,1,269.0,11,0,290.0,10,0
49,-1185980445,566.0,17,0,259.0,15,4,299.0,13,0,334.0,13,2
50,-1526513596,296.0,18,0,314.0,8,3,315.0,13,0,265.0,10,2
51,2085546256,312.0,13,0,258.0,12,2,349.0,8,0,326.0,8,1
52,-1520519309,269.0,11,0,321.0,15,2,317.0,18,0,256.0,15,2
53,-1936798205,279.0,11,0,259.0,14,1,444.0,14,0,323.0,13,1
54,-2068278468,260.0,15,0,255.0,10,1,275.0,12,0,330.0,12,1
55,-1173236256,520.0,12,0,385.0,18,3,342.0,17,0,257.0,19,1
56,-1528101297,276.0,11,0,301.0,12,3,280.0,11,0,260.0,13,3
57,1923391767,265.0,16,0,271.0,21,2,254.0,20,0,270.0,14,1
58,-1826864704,277.0,11,0,330.0,16,2,290.0,18,0,295.0,16,2
59,956531651,342.0,3,0,318.0,13,1,213.0,14,0,312.0,14,1
60,-64288054,269.0,12,0,274.0,11,1,439.0,10,0,253.0,11,1
61,-1720122130,262.0,14,0,374.0,11,0,374.0,11,0,374.0,11,0
62,-1553660392,259.0,12,0,255.0,19,2,245.0,16,0,318.0,19,2
63,-1259958296,271.0,9,0,260.0,17,1,261.0,18,0,255.0,19,1
64,207447968,492.0,13,0,312.0,15,3,348.0,17,0,215.0,16,3
65,-331774954,341.0,9,0,317.0,21,2,405.0,19,0,262.0,21,2
66,-699830379,339.0,13,0,297.0,13,2,259.0,14,0,267.0,13,1
67,-287391072,314.0,17,0,246.0,11,3,321.0,11,0,209.0,10,2
68,-2073200864,502.0,15,0,440.0,16,3,282.0,16,0,267.0,16,1
69,-1415174072,375.0,15,0,348.0,16,2,253.0,16,0,284.0,16,1
70,-1802495991,384.0,12,0,314.0,15,2,377.0,9,0,272.0,12,1
71,-31871562,313.0,13,0,247.0,7,2,277.0,6,0,260.0,6,2
72,-488072517,273.0,13,0,225.0,10,4,247.0,9,0,268.0,9,1
73,-98674175,260.0,12,0,322.0,10,0,322.0,10,0,322.0,10,0
74,-969554028,334.0,14,0,289.0,10,2,374.0,11,0,283.0,9,2
75,1152794695,262.0,11,0,392.0,11,2,276.0,11,0,330.0,10,1
76,-1162789500,312.0,6,0,320.0,11,2,332.0,17,0,329.0,16,1
77,-2041945293,285.0,14,0,255.0,19,3,271.0,16,0,271.0,17,1
78,1455459175,258.0,20,0,266.0,11,1,277.0,10,0,263.0,10,0
79,1829559563,359.0,12,0,294.0,14,1,262.0,14,0,207.0,16,1
80,-1863740507,325.0,9,0,286.0,20,6,248.0,16,0,260.0,18,3
81,1184193257,405.0,7,0,254.0,11,2,314.0,10,0,324.0,10,1
82,-706367813,288.0,15,0,258.0,9,4,320.0,11,0,256.0,15,1
83,1703612613,315.0,12,0,322.0,12,4,218.0,11,0,320.0,11,1
84,-2072821102,273.0,11,0,255.0,15,4,349.0,13,0,225.0,11,2
85,775299731,259.0,15,0,263.0,11,0,263.0,11,0,263.0,11,0
86,1300572646,269.0,18,0,200.0,10,3,209.0,13,0,253.0,9,0
87,857610998,258.0,8,0,245.0,15,1,232.0,13,0,315.0,16,1
88,1066488747,269.0,15,0,263.0,10,5,293.0,10,0,292.0,9,1
89,-184278579,260.0,12,0,253.0,17,1,287.0,22,0,275.0,21,2
90,-2119088714,262.0,9,0,314.0,16,1,292.0,17,0,220.0,15,1
91,-181199769,202.0,6,0,269.0,11,4,316.0,14,0,334.0,14,1
92,-1167353096,264.0,8,0,256.0,11,2,231.0,12,0,260.0,10,1
93,173116366,267.0,15,0,256.0,14,4,259.0,17,0,260.0,15,2
94,-1576713873,248.0,21,0,344.0,12,0,344.0,12,0,344.0,12,0
95,-1620283553,250.0,14,0,318.0,7,3,257.0,7,0,261.0,8,5
96,128743053,264.0,12,0,260.0,16,0,260.0,16,0,260.0,16,0
97,305687977,270.0,5,0,215.0,9,3,335.0,12,0,327.0,16,1
98,1609908616,249.0,16,0,258.0,17,3,251.0,13,0,316.0,13,3
99,1180125669,493.0,16,0,256.0,10,3,263.0,10,0,323.0,10,2
